Description,Name,Primary Industry,Size,Type,Location,Country,Domain,Agency LinkedIn URL,ICP Score ,MRR,Annual Revenue,Accounting - Departmental Head Count,Finance - Department Head Count,Decision Maker First Name,Decision Maker Last Name,Decision Maker Linkedin Profile URL,Connection Request Message,Follow-Up on Unaccepted Connection,Message After Connection Acceptance,Follow-Up Message (No Reply After Acceptance),Second Follow-Up Message (Persistent No Reply),"Initial Outreach Message (Reference Pain Point, No Pitch)",First Follow-Up Message (Prompt for Response),Second Follow-Up Message (After No Reply)
"8 Million Stories (8MS) are a new breed of nimble marketing agency, set up to seize the opportunities of an ever-changing digital age. We firmly believe in Content Monetisation: driving revenue, actions and ROI from different types of content marketing campaigns.

With over 10 years’ experience, our team have led some of the most complex, international digital marketing campaigns for the world’s biggest brands. From award-winning SEO and PPC campaigns, to setting global digital strategies, we have an accountable content monetisation approach that allows brands to connect more effectively with their audiences. It’s a results driven, no fuss, multi-channel approach that helps brands tell their story online while tying it back to a clear ROI.

The days of template marketing and a generic silo-approach are gone: welcome to a new era in Content Monetisation.",8 Million Stories Ltd,Advertising Services,11-50 employees,Privately Held,"Edinburgh, Scotland",United Kingdom,8ms.com,https://www.linkedin.com/company/8-million-stories-ltd-,,,,,,,,,,,,,,,,
Socal Premier Marketing is an marketing company that represents Fortune 500 companies inside large retailers. Our mission is to build connections between our clients and their potential customer base by creating a standard of excellence. We provide top notch service while fostering our teams’ growth through a rewarding and progressive environment; the growth of our team members is our highest priority. We are passionate about delivering quality and results. Socal Premier Marketing values teamwork within our agency and strives for good partnerships across all platforms.,"Socal Premier Marketing, Inc.",Advertising Services,11-50 employees,Public Company,"La Habra, California",United States,socalpremiermarketinginc.com,https://www.linkedin.com/company/socal-premier-marketing-inc,,,,,,,,,,,,,,,,
"We serve challenger brands — brands who are ambitious, passionate, and driven to take on their competitors. Just like a challenger brand, we are nimble, agile, and view every obstacle as an opportunity. Named as AdAge’s #3 Best Place to Work in the United States, we are culture driven, client obsessed, and hyper-focused on creating Work That Wins. At RBA, we love working with forward-thinking organizations who are helping to solve challenges in the world. Ready to get shit done?","RBA, an Inc 5000 Company",Advertising Services,11-50 employees,Privately Held,"Dallas, Texas",United States,therba.com,https://www.linkedin.com/company/rbadtx,,,,,,,,,,,,,,,,
"Data-Driven. Collaborative. Innovative.

We create holistic, comprehensive digital strategies that help you achieve the business goals you want and need. CRI is a leading digital marketing agency, specializing in working across multiple verticals, with brands of all sizes, providing years of expertise in overall strategy, digital marketing, social media, SEO and web analytics.
 
CRI differentiates itself by its highly consultative approach and ability to target qualified, niche audiences effectively via data-driven strategies. Our teams embrace data as a means of proving the value of every engagement and strive to exceed our client’s goals with a full-funnel, holistic and analytical approach to digital marketing.","Charles River Interactive, Inc.",Advertising Services,11-50 employees,Privately Held,"Lowell, Massachusetts",United States,charlesriverinteractive.com,https://www.linkedin.com/company/charles-river-interactive,,,,,,,,,,,,,,,,
"The world's 5th news agency - HUM is a privately funded Company with headquarters in Atlanta, Georgia and around the world.  WW.HUMNEWS.COM / @HUMNEWS everywhere.

First incorporated as Human Unlimited Media, Inc a Georgia nonprofit in October, 2001; then adding sister effort Human Media, LLC, a Georgia corporation, November 2007; with a new parent company, HUM: Human Unlimited Media Inc., formed in 2016.  The Company is seeking its place in the international content universe committed to and known as the source for news, information, products and expertise from the “GEOGRAPHIC GAP.

As the 1st news agency to develop media which informs a global populace with a full geographic picture,  HUM journalism showcases the commonalities of life without boundaries of borders, age, race, sex, creed, color, locale, culture or –ism.
 
HUM presents media outlets, consumers, corporations, academic & government entities with a distinguished coverage source of trusted information & news products relative to a rapidly growing global generation of future-focused citizens who are drastically changing the way they access and consume content.

HUM is the next essential supply organization on the international information scene; catering to the emerging global mobile generation by nurturing a realization of future prosperity, security and meaning directly tied to the total well being of the entire world. We will transform the news and information industry by our editorial and operational example and are developing proprietary technologies enabling and allowing our partners to do the same.","HUM: Human Unlimited Media, Inc",Media Production,11-50 employees,Privately Held,"Atlanta, Georgia",United States,humnews.com,https://www.linkedin.com/company/humnews,,,,,,,,,,,,,,,,
"A full service agency located in Milwaukee, Wisconsin. 

We are creative problem solvers interested in results. For us, creativity isn’t the goal, it’s part of the journey. Our aim is more than just creating an emotional response; it’s turning that response into action and ultimately devotion. In short, we put creativity to work. 

Our areas of expertise in marketing communications include travel & tourism, food & beverage, manufacturing, health care, and financial industries.",Boelter + Lincoln,Advertising Services,11-50 employees,Partnership,"Milwaukee, Wisconsin",United States,boelterlincoln.com,https://www.linkedin.com/company/boelterlincoln,,,,,,,,,,,,,,,,
"Traina is a premier branding agency for visionary companies that believe in the power of branding and design to connect, inspire and move people.

Founded in 2006, we help companies articulate their unique purpose and connect with audiences in profoundly moving ways. Our work is rooted in strategy and driven by groundbreaking design. The experiences we create move hearts and minds just as much as they move business and the bottom line.",Traina,Advertising Services,11-50 employees,Privately Held,"San Diego, California",United States,wearetraina.com,https://www.linkedin.com/company/wearetraina,,,,,,,,,,,,,,,,
"Discover the power of YouTube influencer marketing to consistently acquire new users at an efficient CAC.

Makrwatch helps you craft a custom influencer program focused on hitting your brands' acquisition targets.

Makrwatch handles everything from finding creators and negotiating rates, to contracting and payments, ensuring you can focus on what matters.

Get in touch to see how we can help you analyze the potential ROI of a
YouTube Creator Program for your brand.",Makrwatch,Advertising Services,11-50 employees,Privately Held,100% Remote!,United States,makrwatch.com,https://www.linkedin.com/company/makrwatch,,,,,,,,,,,,,,,,
"Sembox - Group by Eskimoz - is a leading performance-driven digital marketing agency. 

With a strong focus on search engine marketing – both paid and organic (SEO) – Sembox has evolved alongside client needs in the fast-changing digital marketing industry.
Our projects, across multiple industries, are aimed at maximizing business performance leveraging on a full-range of campaigns and activities such as search marketing, social media, shopping & feed, affliation, programmatic, e-mail marketing and mobile solutions. 

Our expertise combines a broad knowledge of performance-driven marketing activities with advanced technology and web development solutions, including Shopify

Our projects, across multiple industries, are aimed at maximizing business performance leveraging on search marketing, social media, shopping & feed and mobile solutions. 

Our team is focused on reaching the right audience with the objective to generate sales and/or qualified business leads at a cost-effective rate.",SEMBOX (Acquired by Eskimoz),Advertising Services,11-50 employees,Privately Held,"Milano, Milano",Italy,sembox.it,https://www.linkedin.com/company/sembox,,,,,,,,,,,,,,,,
"Anson-Stoner is a full service advertising agency that specializes in leveraging brands to increase bottom lines. With expertise in advertising, research, brand strategy, media planning and buying, public relations, promotion and interactive design and development, Anson-Stoner provides tailored services to meet the needs of each client. Since its inception in 1983, Anson-Stoner has been consistently recognized for its work with numerous local, regional and national awards, including the prestigious Radio Mercury Award. Anson-Stoner is based in Winter Park, Fla and has been a member of the American Association of Advertising Agencies (AAAA) since 1985.",Anson-Stoner,Advertising Services,11-50 employees,Privately Held,"Winter Park, Florida",United States,anson-stoner.com,https://www.linkedin.com/company/anson-stoner,,,,,,,,,,,,,,,,
